iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BWA,Botswana,MtCO2e,54.33,53.74,53.98,53.64,53.87,54.77,55.87,55.42,55.13,55.10,54.77,57.56,57.93,49.84,50.32,51.88,53.81,52.27,61.65,51.59,63.53,69.42,54.66,55.16,53.84,53.32,52.10,56.05,54.56,51.78,53.35,62.33
FIN,Finland,MtCO2e,44.50,44.39,41.29,42.53,49.17,45.21,51.68,49.79,46.23,45.76,44.69,65.88,68.26,76.59,72.82,60.53,72.18,70.21,62.00,58.58,66.75,19.27,13.68,14.42,10.42,6.93,70.97,68.39,69.80,66.89,61.94,61.93
SRB,Serbia,MtCO2e,79.21,68.26,63.29,57.53,53.76,60.28,68.02,72.80,72.62,55.18,57.36,26.84,30.24,33.44,38.54,30.89,33.63,32.58,30.33,27.87,27.41,64.47,59.64,60.35,52.36,58.68,62.89,63.27,61.57,61.70,62.83,60.79
BFA,Burkina Faso,MtCO2e,24.29,24.73,25.02,25.27,25.73,26.11,27.26,27.83,28.68,28.57,29.92,31.79,32.52,35.92,36.59,37.25,37.24,37.93,38.84,39.53,41.18,31.14,31.84,32.64,33.13,34.43,54.31,55.33,56.29,57.23,57.86,59.28
CAF,Central African Republic,MtCO2e,49.27,49.58,49.63,49.68,52.18,52.31,38.24,41.53,46.74,43.00,44.22,54.70,49.07,64.46,53.80,62.11,59.32,63.19,61.36,48.82,58.05,61.72,57.79,55.64,52.07,52.88,62.27,56.49,57.35,55.32,55.58,56.39
BHR,Bahrain,MtCO2e,15.93,15.59,17.78,18.75,19.14,19.88,21.13,22.14,23.87,24.45,25.55,26.36,27.57,28.61,28.76,32.02,34.48,35.66,38.12,38.82,40.77,41.48,43.05,45.89,47.96,48.71,49.30,50.15,50.87,54.31,54.49,55.39
UGA,Uganda,MtCO2e,27.89,28.36,28.62,28.97,28.63,29.31,30.12,31.49,32.92,32.74,32.53,32.04,32.81,34.53,34.54,36.56,35.20,37.94,44.20,44.50,46.03,46.32,48.03,48.04,49.16,50.77,52.16,52.29,53.41,52.98,53.83,54.88
AZE,Azerbaijan,MtCO2e,78.18,75.32,84.07,61.85,40.77,39.88,34.40,33.97,34.53,34.80,36.58,35.72,35.79,38.50,38.56,41.68,44.07,43.16,47.65,43.46,42.31,43.77,46.82,48.03,49.18,49.01,50.40,49.71,51.13,53.49,51.93,54.61
PRT,Portugal,MtCO2e,57.72,59.45,63.49,62.40,64.30,68.07,66.45,68.78,73.97,80.68,80.20,78.61,83.25,78.95,80.44,83.86,78.50,77.09,74.83,74.04,68.67,66.36,64.68,63.01,62.57,66.69,66.78,71.77,66.88,61.84,55.90,53.68
CIV,Côte d'Ivoire,MtCO2e,68.88,71.59,74.23,76.92,79.74,80.64,81.65,83.40,84.16,86.35,86.36,51.96,52.01,49.26,47.65,48.99,48.01,47.45,47.00,45.59,45.28,44.90,46.58,47.95,47.84,48.66,50.11,50.68,50.38,51.56,52.03,53.67
